Date,r,xs,xb
3/1/1963,-0.000880667,0.030508667,0.000330667
4/1/1963,0.002416667,0.045022333,0.000934333
5/1/1963,0.002441667,0.017609333,-0.001366667
6/1/1963,-0.000787333,-0.020521667,-0.001115667
7/1/1963,-0.000618,-0.004368,-0.002669
8/1/1963,0.002766667,0.049917333,-0.000955667
9/1/1963,0.002816667,-0.014714667,-0.000583667
10/1/1963,-0.000382,0.024833,-0.001768
11/1/1963,0.002933333,-0.008482333,0.001715667
12/1/1963,-0.000313667,0.018802667,-0.002973333
1/1/1964,0.002933333,0.022856667,0.000698667
2/1/1964,0.002941667,0.014265333,-0.001777667
3/1/1964,0.00295,0.014686,-0.001619
4/1/1964,0.002891667,0.001716333,0.000717333
5/1/1964,0.0029,0.014503,0.004837
6/1/1964,-0.000336,0.01218,0.000995
7/1/1964,-0.000342667,0.017234667,-0.000143333
8/1/1964,0.006131667,-0.014182667,-0.000202667
9/1/1964,-0.000284333,0.027538333,0.001253333
10/1/1964,0.002975,0.005894,0.00027
11/1/1964,-0.000181667,5.57E-05,-0.002167333
12/1/1964,0.0032,0.00049,-0.00078
1/1/1965,0.003175,0.035471,0.001815
2/1/1965,0.003275,0.003671,-0.002059
3/1/1965,7.00E-05,-0.01299,0.001312
4/1/1965,8.00E-05,0.030377,-0.000598
5/1/1965,0.003241667,-0.007591667,-0.000462667
6/1/1965,-0.003202333,-0.055034667,0.002022333
7/1/1965,0.0032,0.013559,-0.001153
8/1/1965,0.0032,0.027683,-0.001277
9/1/1965,0.003266667,0.028685333,-0.004073667
10/1/1965,0.000193333,0.025912667,-0.003016333
11/1/1965,0.003408333,-0.000343333,-0.003052333
12/1/1965,0.000495,0.009895,-0.018826
1/1/1966,0.003825,0.008297,-0.003894
2/1/1966,-0.002414,-0.012496,-0.011917
3/1/1966,0.0007,-0.024748,0.014896
4/1/1966,-0.002381,0.020987,-0.005704
5/1/1966,0.003866667,-0.056405667,-0.002795667
6/1/1966,0.000654,-0.014067,-0.005491
7/1/1966,0.000914,-0.01687,-0.007152
8/1/1966,-0.002020667,-0.079521333,-0.016600333
9/1/1966,0.004475,-0.011433,0.019719
10/1/1966,-0.001657667,0.037835667,0.001584667
11/1/1966,0.004433333,0.013082667,-0.003719333
12/1/1966,0.004133333,0.002076667,0.024186667
1/1/1967,0.003933333,0.081596667,0.006618667
2/1/1967,0.0038,0.007145,-0.004804
3/1/1967,0.00051,0.039834,0.015202
4/1/1967,0.00017,0.038409,-0.010942
5/1/1967,-2.10E-05,-0.042293,0.000731
6/1/1967,-0.000062,0.023953,-0.025572
7/1/1967,0.000505333,0.045680667,0.009191667
8/1/1967,0.000564333,-0.009840333,-0.007141333
9/1/1967,0.000698333,0.030602667,-0.000686333
10/1/1967,0.000824,-0.031233,-0.013623
11/1/1967,0.000974667,0.003960333,0.000188333
12/1/1967,0.001182667,0.029557333,-0.001466667
1/1/1968,-0.001733333,-0.040496667,0.010368333
2/1/1968,0.001217,-0.037774,0.000509
3/1/1968,0.001384333,0.000807667,-0.006922333
4/1/1968,0.001568333,0.089664667,-0.006749333
5/1/1968,0.001809667,0.022324333,0.002320333
6/1/1968,-0.001197,0.006927,0.012064
7/1/1968,-0.001339,-0.026449,0.013202
8/1/1968,0.001376667,0.013796333,-0.002143667
9/1/1968,0.001468,0.040129,0.000871
10/1/1968,-0.001239667,0.004582667,-0.003547333
11/1/1968,0.001708667,0.053960333,-0.006149667
12/1/1968,0.002141667,-0.038839667,-0.022295667
1/1/1969,0.002299667,-0.011827667,0.004154333
2/1/1969,-0.000518,-0.05874,-0.006108
3/1/1969,-0.003363333,0.025489333,0.003720333
4/1/1969,-0.000448333,0.015434333,0.003404333
5/1/1969,0.002278333,6.67E-06,-0.013831333
6/1/1969,-0.000128333,-0.072753667,-0.013762667
7/1/1969,0.000369333,-0.071005333,0.002739667
8/1/1969,0.000381667,0.045673333,-0.007970667
9/1/1969,0.003205333,-0.028498333,-0.039458333
10/1/1969,0.000442333,0.049804667,0.032420667
11/1/1969,0.000671333,-0.038197333,-0.012815333
