Date,r,xs,xb,snom,spe,sspr
9/1/1959,-5.83333E-05,-0.048343667,0.002346333,0.0404,2.889916888,0.0086
10/1/1959,-3.8E-05,0.012371,0.017734,0.0405,2.889916888,0.0067
11/1/1959,0.003458333,0.015098667,-0.012605333,0.0415,2.889916888,0.006
12/1/1959,0.003741667,0.024301333,-0.010916667,0.0449,2.889916888,0.0052
1/1/1960,0.007026,-0.069869,0.011785,0.0435,2.906242784,0.0057
2/1/1960,-0.000113,0.011119,0.00388,0.0396,2.906242784,0.0073
3/1/1960,0.002758333,-0.015580333,0.026411667,0.0331,2.906242784,0.01
4/1/1960,-0.000709333,-0.017962667,-0.009118667,0.0323,2.906242784,0.0106
5/1/1960,0.002741667,0.031356333,0.000402333,0.0329,2.906242784,0.012
6/1/1960,-0.00134,0.020783,0.019626,0.0246,2.906242784,0.0166
7/1/1960,0.001916667,-0.024621667,0.025233333,0.023,2.906242784,0.0149
8/1/1960,0.001916667,0.030298333,-0.002720667,0.023,2.906242784,0.0132
9/1/1960,0.002066667,-0.060739667,-0.000277667,0.0248,2.906242784,0.0113
10/1/1960,-0.004840333,-0.006621667,-0.001189667,0.023,2.906242784,0.0146
11/1/1960,0.001975,0.046642,-0.007224,0.0237,2.906242784,0.0144
12/1/1960,0.001875,0.046662,0.018752,0.0225,2.906242784,0.0142
1/1/1961,0.001866667,0.062085333,-0.007809667,0.0224,2.919950757,0.0143
2/1/1961,0.002016667,0.034988333,0.007011333,0.0242,2.919950757,0.0124
3/1/1961,0.001991667,0.028618333,0.001658333,0.0239,2.919950757,0.0121
4/1/1961,0.001908333,0.003736667,0.003453667,0.0229,2.919950757,0.0128
5/1/1961,0.001908333,0.023985667,-0.004678333,0.0229,2.919950757,0.0118
6/1/1961,0.001941667,-0.030440667,-0.003860667,0.0233,2.919950757,0.0148
7/1/1961,-0.004844333,0.028088333,0.000112333,0.0224,2.919950757,0.016
8/1/1961,0.005324667,0.024862333,-3.86667E-05,0.0239,2.919950757,0.0157
9/1/1961,-0.001444,-0.02189,0.006647,0.0228,2.919950757,0.0162
10/1/1961,0.001916667,0.025414333,0.001019333,0.023,2.919950757,0.015
11/1/1961,0.002066667,0.043384333,-0.003650667,0.0248,2.919950757,0.0134
12/1/1961,0.002166667,-0.001453667,-0.002595667,0.026,2.919950757,0.0131
1/1/1962,0.002266667,-0.038413667,-0.006496667,0.0272,3.045610773,0.0122
2/1/1962,-0.001058,0.017237,0.012587,0.0273,3.045610773,0.0116
3/1/1962,0.002266667,-0.006954667,0.006965333,0.0272,3.045610773,0.0096
4/1/1962,-0.001047,-0.06571,0.000176,0.0273,3.045610773,0.0087
5/1/1962,0.002241667,-0.086861667,0.002642333,0.0269,3.045610773,0.0097
6/1/1962,0.002275,-0.08489,-0.005041,0.0273,3.045610773,0.0091
7/1/1962,-0.000877667,0.063004667,-0.003032333,0.0292,3.045610773,0.0088
8/1/1962,0.00235,0.021064,0.009796,0.0282,3.045610773,0.0089
9/1/1962,-0.000983333,-0.052470667,0.000105333,0.0278,3.045610773,0.0092
10/1/1962,0.002283333,-9.93333E-05,0.002163667,0.0274,3.045610773,0.009
11/1/1962,0.002358333,0.107778667,0.003953667,0.0283,3.045610773,0.0077
12/1/1962,0.002391667,0.009473333,0.002874333,0.0287,3.045610773,0.0069
1/1/1963,0.002425,0.049423,-0.005298,0.0291,2.945087512,0.0067
2/1/1963,0.002433333,-0.024364333,-0.000716333,0.0292,2.945087512,0.0074
3/1/1963,-0.000880667,0.030508667,0.000330667,0.0289,2.945087512,0.0079
4/1/1963,0.002416667,0.045022333,0.000934333,0.029,2.945087512,0.0084
5/1/1963,0.002441667,0.017609333,-0.001366667,0.0293,2.945087512,0.0079
6/1/1963,-0.000787333,-0.020521667,-0.001115667,0.0299,2.945087512,0.0082
7/1/1963,-0.000618,-0.004368,-0.002669,0.0318,2.945087512,0.0071
8/1/1963,0.002766667,0.049917333,-0.000955667,0.0332,2.945087512,0.0057
9/1/1963,0.002816667,-0.014714667,-0.000583667,0.0338,2.945087512,0.0058
10/1/1963,-0.000382,0.024833,-0.001768,0.0345,2.945087512,0.0052
11/1/1963,0.002933333,-0.008482333,0.001715667,0.0352,2.945087512,0.0049
12/1/1963,-0.000313667,0.018802667,-0.002973333,0.0352,2.945087512,0.0052
1/1/1964,0.002933333,0.022856667,0.000698667,0.0352,3.057941743,0.0055
2/1/1964,0.002941667,0.014265333,-0.001777667,0.0353,3.057941743,0.005
3/1/1964,0.00295,0.014686,-0.001619,0.0354,3.057941743,0.006
4/1/1964,0.002891667,0.001716333,0.000717333,0.0347,3.057941743,0.0068
5/1/1964,0.0029,0.014503,0.004837,0.0348,3.057941743,0.0057
6/1/1964,-0.000336,0.01218,0.000995,0.0348,3.057941743,0.0054
7/1/1964,-0.000342667,0.017234667,-0.000143333,0.0346,3.057941743,0.0057
8/1/1964,0.006131667,-0.014182667,-0.000202667,0.035,3.057941743,0.0055
9/1/1964,-0.000284333,0.027538333,0.001253333,0.0353,3.057941743,0.0055
10/1/1964,0.002975,0.005894,0.00027,0.0357,3.057941743,0.005
11/1/1964,-0.000181667,5.56667E-05,-0.002167333,0.0364,3.057941743,0.004
12/1/1964,0.0032,0.00049,-0.00078,0.0384,3.057941743,0.0025
1/1/1965,0.003175,0.035471,0.001815,0.0381,3.131818115,0.0029
2/1/1965,0.003275,0.003671,-0.002059,0.0393,3.131818115,0.0022
3/1/1965,7E-05,-0.01299,0.001312,0.0393,3.131818115,0.0022
4/1/1965,8E-05,0.030377,-0.000598,0.0393,3.131818115,0.0022
5/1/1965,0.003241667,-0.007591667,-0.000462667,0.0389,3.131818115,0.0026
6/1/1965,-0.003202333,-0.055034667,0.002022333,0.038,3.131818115,0.0035
7/1/1965,0.0032,0.013559,-0.001153,0.0384,3.131818115,0.0031
8/1/1965,0.0032,0.027683,-0.001277,0.0384,3.131818115,0.0036
9/1/1965,0.003266667,0.028685333,-0.004073667,0.0392,3.131818115,0.0033
10/1/1965,0.000193333,0.025912667,-0.003016333,0.0403,3.131818115,0.0031
11/1/1965,0.003408333,-0.000343333,-0.003052333,0.0409,3.131818115,0.0037
12/1/1965,0.000495,0.009895,-0.018826,0.0438,3.131818115,0.0034
