Date,r,xs,xb,snom,spe,sspr,Bearish,Bullish
11/1/1992,0.001198333,0.037584667,-0.010614333,0.0313,3.007217725,0.0291,0.43,0.2
12/1/1992,0.003387333,0.015084667,0.011926667,0.0322,3.007217725,0.0286,0.55,0.15
1/1/1993,-0.002433,0.010144,0.023083,0.03,3.017046809,0.0283,0.4,0.23
2/1/1993,-0.001064333,0.002960333,0.017168333,0.0293,3.017046809,0.025,0.34,0.34
3/1/1993,-0.001035667,0.022657667,0.002964667,0.0295,3.017046809,0.0224,0.43,0.23
4/1/1993,-0.000394333,-0.027791667,0.006178333,0.0287,3.017046809,0.0226,0.22,0.41
5/1/1993,0.001077667,0.027132333,-0.004248667,0.0296,3.017046809,0.0224,0.24,0.39
6/1/1993,0.001171333,0.002881667,0.015287667,0.0307,3.017046809,0.0215,0.28,0.34
7/1/1993,0.002533333,-0.003325333,-0.001551333,0.0304,3.017046809,0.0205,0.25,0.3
8/1/1993,-0.000253333,0.036962333,0.017159333,0.0302,3.017046809,0.0201,0.27,0.38
9/1/1993,0.000386333,-0.001817333,0.002429667,0.0295,3.017046809,0.0178,0.28,0.32
10/1/1993,-0.001618333,0.015547333,-0.000835667,0.0302,3.017046809,0.0169,0.43,0.24
11/1/1993,0.001897333,-0.020189333,-0.010559333,0.031,3.017046809,0.0196,0.45,0.25
12/1/1993,0.00255,0.016965,0.000697,0.0306,3.017046809,0.0209,0.44,0.28
1/1/1994,-0.000259667,0.028982667,0.010308667,0.0298,3.067285493,0.0211,0.41,0.34
2/1/1994,-0.000711667,-0.026934333,-0.021354333,0.0325,3.067285493,0.0215,0.41,0.29
3/1/1994,-0.000491333,-0.048711667,-0.024185667,0.035,3.067285493,0.0244,0.23,0.44
4/1/1994,0.001707667,0.006411333,-0.012532667,0.0368,3.067285493,0.0284,0.27,0.38
5/1/1994,0.002772,0.00591,-0.002741,0.0414,3.067285493,0.0264,0.29,0.38
6/1/1994,6.00E-05,-0.031359,-0.005962,0.0414,3.067285493,0.0256,0.32,0.31
7/1/1994,0.000905333,0.027024667,0.012323667,0.0433,3.067285493,0.0258,0.27,0.31
8/1/1994,-0.000309667,0.038863667,0.000321667,0.0448,3.067285493,0.024,0.32,0.29
9/1/1994,0.001165,-0.022213,-0.018163,0.0462,3.067285493,0.0246,0.38,0.3
10/1/1994,0.003456,0.010395,-0.005835,0.0495,3.067285493,0.0245,0.43,0.19
11/1/1994,0.003070333,-0.041627333,-0.010133333,0.0529,3.067285493,0.0243,0.44,0.26
12/1/1994,0.004666667,0.007942333,-0.000253667,0.056,3.067285493,0.0218,0.4,0.17
1/1/1995,0.000750333,0.015640667,0.013426667,0.0571,2.993124613,0.0205,0.38,0.25
2/1/1995,0.000816333,0.034806667,0.018614667,0.0577,2.993124613,0.016,0.46,0.17
3/1/1995,0.001462,0.022266,0.001118,0.0573,2.993124613,0.0132,0.52,0.25
4/1/1995,0.001405333,0.020339667,0.009458667,0.0565,2.993124613,0.0121,0.52,0.19
5/1/1995,0.00275,0.029282,0.033215,0.0567,2.993124613,0.0074,0.44,0.3
6/1/1995,0.002587333,0.026614667,0.004248667,0.0547,2.993124613,0.0046,0.35,0.37
7/1/1995,0.004516667,0.036266333,-0.007503667,0.0542,2.993124613,0.0059,0.41,0.33
8/1/1995,0.001877,0.004804,0.004954,0.054,2.993124613,0.0084,0.38,0.2
9/1/1995,0.002438,0.031963,0.001159,0.0528,2.993124613,0.0072,0.42,0.31
10/1/1995,0.001136,-0.015717,0.009228,0.0528,2.993124613,0.0058,0.46,0.21
11/1/1995,0.005117667,0.038341333,0.011590333,0.0536,2.993124613,0.0033,0.51,0.19
12/1/1995,0.004934333,0.010906667,0.005132667,0.0514,2.993124613,0.0037,0.46,0.2
1/1/1996,-0.001696333,0.023974333,0.005279333,0.05,3.189982161,0.0036,0.36,0.24
2/1/1996,0.000787,0.012285,-0.017787,0.0483,3.189982161,0.0055,0.45,0.27
