Date,r,xs,xb
5/1/1963,110.6872555,296.7460351,103.3634256
6/1/1963,110.6001078,290.6563117,103.2481065
7/1/1963,110.5317569,289.386725,102.9725373
8/1/1963,110.8375615,303.8321385,102.8741298
9/1/1963,111.149754,299.3613497,102.8140856
10/1/1963,111.1072948,306.7953901,102.6323103
11/1/1963,111.4332095,304.1930495,102.8083931
12/1/1963,111.3982566,309.9126901,102.5027095
1/1/1964,111.7250247,316.9962612,102.5743248
2/1/1964,112.0536826,321.5183185,102.3919818
3/1/1964,112.3842409,326.2401365,102.2262092
4/1/1964,112.7092187,326.8000732,102.2995394
5/1/1964,113.0360755,331.5396547,102.7943623
6/1/1964,112.9980953,335.5778077,102.8966427
7/1/1964,112.9593746,341.3613794,102.8818942
8/1/1964,113.6520039,336.5199647,102.8610434
9/1/1964,113.6196889,345.7871635,102.9899626
10/1/1964,113.9577074,347.8252331,103.0177699
11/1/1964,113.9370051,347.8446069,102.7944961
12/1/1964,114.3016035,348.0150508,102.7143164
1/1/1965,114.6645111,360.3594926,102.9007428
2/1/1965,115.0400374,361.6823723,102.6888702
3/1/1965,115.0480902,356.9841183,102.823598
4/1/1965,115.057294,367.8282249,102.7621095
5/1/1965,115.4302715,365.0357955,102.7145649
6/1/1965,115.0606253,344.946172,102.9222879
7/1/1965,115.4288193,349.6232972,102.8036185
8/1/1965,115.7981915,359.3019189,102.6723383
9/1/1965,116.1764656,369.6086141,102.2540854
10/1/1965,116.1989264,379.1861591,101.945653
11/1/1965,116.594971,379.0559719,101.6344809
12/1/1965,116.6526855,382.8067308,99.72111019
1/1/1966,117.0988821,385.9828782,99.33279619
2/1/1966,116.8162054,381.1596362,98.14904725
3/1/1966,116.8979767,371.7266975,99.61107546
4/1/1966,116.6196426,379.5281257,99.04289389
5/1/1966,117.0705719,358.1205886,98.76600294
6/1/1966,117.1471361,353.0829063,98.22367881
7/1/1966,117.2542086,347.1263977,97.52118306
8/1/1966,117.0172769,319.5224438,95.90229895
9/1/1966,117.5409292,315.8693437,97.79339638
10/1/1966,117.3460855,327.820471,97.94836635
11/1/1966,117.8663197,332.1092371,97.58406376
12/1/1966,118.3535005,332.7989174,99.94429701
1/1/1967,118.8190242,359.9541998,100.605795
2/1/1967,119.2705365,362.5260726,100.1224848
3/1/1967,119.3313645,376.9669361,101.6445468
4/1/1967,119.3516508,391.4458592,100.5323522
5/1/1967,119.3491444,374.8904395,100.6058413
6/1/1967,119.3417448,383.8701902,98.03314875
7/1/1967,119.4020521,401.4056365,98.93423681
8/1/1967,119.4694346,397.4556714,98.22771448
9/1/1967,119.5528641,409.6188749,98.16029756
10/1/1967,119.6513756,396.8252486,96.82305983
11/1/1967,119.7679959,398.3968087,96.8412948
12/1/1967,119.9096415,410.1723559,96.69926087
1/1/1968,119.7017982,393.5617426,97.70187101
2/1/1968,119.8474753,378.6953413,97.75160126
3/1/1968,120.0133841,379.001201,97.07493213
4/1/1968,120.201605,412.9842175,96.41974108
5/1/1968,120.4191299,422.2038147,96.64346699
6/1/1968,120.2749882,425.1284205,97.80937378
7/1/1968,120.11394,413.8841989,99.10065313
8/1/1968,120.2792969,419.5942832,98.88821433
9/1/1968,120.4558669,436.4321821,98.97434596
10/1/1968,120.3065418,438.4322055,98.623251
11/1/1968,120.5121056,462.0901533,98.01675085
12/1/1968,120.7702024,444.1427256,95.83140201
1/1/1969,121.0479336,438.8895534,96.22951757
2/1/1969,120.9852308,413.109181,95.64174767
3/1/1969,120.5783172,423.6390585,95.99756682
4/1/1969,120.5242579,430.1776448,96.32437451
5/1/1969,120.7988523,430.1805141,94.99208001
6/1/1969,120.7833499,398.8833042,93.68473564
7/1/1969,120.8279591,370.5604624,93.94140062
8/1/1969,120.8740752,387.4851938,93.192625
9/1/1969,121.2615168,376.4425117,89.51539937
10/1/1969,121.3151548,395.1911056,92.41754832
11/1/1969,121.3965977,380.0958594,91.23318667
12/1/1969,121.5402908,370.1382346,88.98705599
1/1/1970,122.0149461,340.5966386,88.58409297
2/1/1970,122.0943372,357.8867997,92.12810628
3/1/1970,122.1263259,354.2170285,92.36275656
4/1/1970,121.8298032,314.9899721,89.4628431
5/1/1970,122.2078411,292.9261845,89.96079328
6/1/1970,122.2549726,276.3343571,90.35665073
7/1/1970,122.2818687,295.3445029,91.10742414
8/1/1970,122.9350578,308.5447285,91.70129267
9/1/1970,122.9316156,321.6381325,92.68845708
10/1/1970,122.9098567,314.1976776,93.55963589
11/1/1970,122.8267696,328.6658523,97.88508498
12/1/1970,122.7048435,347.2895934,97.92880701
1/1/1971,123.1588515,364.0740994,99.33398747
2/1/1971,123.229093,369.109123,101.0704118
3/1/1971,123.2673762,384.5974338,102.9714789
4/1/1971,123.3557179,396.1797136,99.00999441
5/1/1971,123.1659968,380.3883864,98.43167703
6/1/1971,122.7366811,380.0691138,96.24311435
7/1/1971,122.9866958,363.0484787,96.03551795
8/1/1971,123.1908127,376.9874829,99.93756906
9/1/1971,123.6722834,373.6231211,100.1796845
10/1/1971,123.8288114,357.0347525,101.655565
11/1/1971,124.2642761,355.3286024,101.6526475
12/1/1971,124.0718736,386.5674348,103.4267233
1/1/1972,124.4213427,396.4505465,102.8106448
2/1/1972,124.1476988,407.8216731,103.3090022
3/1/1972,124.2330296,410.1110482,101.9078911
4/1/1972,124.317094,411.1007827,103.1214442
5/1/1972,124.3997648,416.5684231,103.9318756
6/1/1972,124.5060437,406.5064907,103.1387369
7/1/1972,124.3218578,403.4289654,103.4406583
8/1/1972,124.4415797,416.5872046,102.7459509
9/1/1972,124.6285324,411.7738173,102.9925069
10/1/1972,124.5287049,413.7198603,103.0502857
11/1/1972,124.7303584,432.6602315,103.569831
12/1/1972,124.96323,435.696641,102.9350515
1/1/1973,125.2325673,421.7703242,102.5319235
2/1/1973,124.9350983,401.0889568,101.280453
3/1/1973,124.4042491,395.9044809,101.0102368
4/1/1973,124.191352,373.3475591,101.3839073
5/1/1973,123.9950054,362.2206818,101.3284503
6/1/1973,123.8905603,356.9182538,100.6903174
7/1/1973,124.4372894,374.8637467,96.43595013
8/1/1973,123.0891358,361.0413958,98.96990115
9/1/1973,123.6665879,378.0206913,101.1239481
10/1/1973,123.3161993,375.5848519,100.7450703
11/1/1973,123.3095402,327.7999424,100.7132349
12/1/1973,123.2691358,329.5099655,100.3289804
1/1/1974,123.0000392,328.8288684,99.7059374
2/1/1974,122.1460909,327.6512227,99.4675073
3/1/1974,121.4036055,317.8222322,96.6663697
4/1/1974,121.7383962,301.0098598,94.23872269
5/1/1974,121.0515887,286.308438,95.14140403
6/1/1974,120.8522571,277.855086,93.62158356
7/1/1974,120.6261023,256.4128237,93.22643803
8/1/1974,120.0616526,231.9965108,92.42024684
9/1/1974,119.4273269,204.9840743,94.7659959
10/1/1974,118.9897054,237.6520445,95.22687449
11/1/1974,118.7989649,226.4177571,96.75278993
12/1/1974,118.5840971,218.9542732,97.86454402
1/1/1975,118.7456877,248.8159867,97.9973788
2/1/1975,118.3782094,262.2091708,98.99221555
3/1/1975,118.4687687,268.9259209,97.70897946
4/1/1975,118.5730212,280.1729408,95.61585771
5/1/1975,118.4173743,294.4005897,97.80638517
6/1/1975,118.0539514,308.2441887,97.38777384
7/1/1975,117.3355144,288.0562494,96.68460168
8/1/1975,117.748731,279.7246063,96.32999476
9/1/1975,117.728125,267.5957474,95.98956456
10/1/1975,117.6659253,281.2137841,98.57219575
11/1/1975,117.3459525,288.7099124,97.93653649
12/1/1975,117.4534804,284.2258626,99.8501838
1/1/1976,117.7184946,318.8879646,99.96937167
2/1/1976,117.7737831,319.9235,100.2003342
3/1/1976,118.0534566,327.1641152,100.7024714
4/1/1976,118.1091778,322.4401925,101.0851408
5/1/1976,117.7788658,318.0220096,99.6590991
6/1/1976,117.6844464,330.7361056,100.2098817
7/1/1976,117.5757451,327.2583053,100.3421254
8/1/1976,117.4616182,325.3869334,101.5002408
9/1/1976,117.5496361,331.9762358,102.4148257
10/1/1976,117.4193911,323.8517814,103.6763715
11/1/1976,117.6813929,324.3070092,106.7253554
12/1/1976,117.7022225,343.1057893,106.8299462
1/1/1977,117.5486211,329.3173969,104.0703151
2/1/1977,116.8005025,322.8457611,103.869494
3/1/1977,116.4577319,318.6231539,104.3273162
4/1/1977,115.919736,318.9955182,104.8589334
5/1/1977,115.8192722,314.2366369,105.1951811
6/1/1977,115.5355535,329.0634737,106.3289397
7/1/1977,115.4642681,323.4249711,105.1037114
8/1/1977,115.6139098,317.6298424,105.5163485
9/1/1977,115.7958476,316.5919339,104.9603125
10/1/1977,116.0131191,302.5310309,103.7804187
11/1/1977,116.0378686,314.7377547,104.1960247
12/1/1977,116.2499084,315.7322212,103.3163672
1/1/1978,116.1250173,296.6087415,102.8315379
2/1/1978,116.0059891,292.2634234,102.3286916
3/1/1978,115.6919223,300.6722317,102.2018381
4/1/1978,115.3859943,324.0041963,102.0381448
5/1/1978,114.9188734,329.8026833,101.3225853
6/1/1978,114.3161622,324.4073314,100.5192661
7/1/1978,114.1072685,340.9220434,100.889512
8/1/1978,114.2594876,353.3493337,101.1474865
