Date,r,xs,xb
12/1/1962,0.094074074,0.019164956,-0.015293261
1/1/1963,-0.008463101,0.017125588,0.081260036
2/1/1963,-0.029361557,-0.022449653,0.075472839
3/1/1963,0.003517411,0.022289767,0.025305404
4/1/1963,0.001752541,0.023785927,0.078344916
5/1/1963,0.035689293,0.016456922,0.016084994
6/1/1963,0.008445946,-0.007619048,0.022492178
7/1/1963,0.023785595,0.115483045,-0.007240166
8/1/1963,0.068390052,0.057355893,-0.008740422
9/1/1963,0.051148545,0.002712232,0.006332435
10/1/1963,-0.042832168,-0.008385177,0.075913843
11/1/1963,-0.00152207,0.034369885,0.026854125
12/1/1963,0.061890244,0.009757384,-0.009149952
1/1/1964,-0.010048808,-0.010446592,0.071798842
2/1/1964,0.024941995,0.041699657,0.01756945
3/1/1964,-0.001697793,-0.009374208,0.05002445
4/1/1964,-0.048752834,-0.032480818,0.093042175
5/1/1964,-0.027115614,0.012952683,0.066395073
6/1/1964,0.044716692,-0.013569937,-0.021178536
7/1/1964,-0.044561712,-0.005555556,0.111610566
8/1/1964,0.001534213,0.014365523,0.012885398
9/1/1964,0.07935049,0.022029898,-0.032399271
10/1/1964,-0.027249503,0.002309469,0.074006487
11/1/1964,0.04289466,0.078853047,-0.006713163
12/1/1964,-0.041130386,-0.038917893,0.053068588
1/1/1965,0.133352787,0.006666667,-0.077611958
2/1/1965,-0.009011329,0.031150356,0.045704315
3/1/1965,-0.015848272,-0.015223597,0.046165275
4/1/1965,0.0187434,-0.010386473,0.023983768
5/1/1965,-0.03291008,-0.004881621,0.077243376
6/1/1965,0.013665595,-0.024773117,-0.031922763
7/1/1965,-0.003965107,0.01056338,0.033363037
8/1/1965,0.003980892,0.038327526,0.04571879
9/1/1965,0.053661116,0.041706616,0.010508153
10/1/1965,-0.034370296,0.00138058,0.086842885
11/1/1965,-0.013250195,0.019301471,0.051109917
12/1/1965,0.123222749,0.101442741,-0.098263443
1/1/1966,0.062119081,0.006958657,-0.014915331
2/1/1966,-0.015890532,0.012195122,0.038715221
3/1/1966,-0.009194887,-0.010040161,-0.001917423
4/1/1966,0.041647804,0.012170385,0.020458406
5/1/1966,-0.031073446,0.02004008,0.009130215
6/1/1966,0.013680197,0.003143418,0.010634161
7/1/1966,0.005752212,0.027418723,0.024807862
8/1/1966,0.039155301,0.130575677,-0.066182328
9/1/1966,0.09165961,0.011633789,-0.091039648
10/1/1966,-0.074074074,-0.05,0.102348075
11/1/1966,-0.106596859,-0.045964912,0.193981793
12/1/1966,0.047819972,-0.078153733,-0.008185449
1/1/1967,0.017002237,-0.080191502,0.056771278
2/1/1967,-0.01341839,0.010626762,0.082098082
3/1/1967,-0.094314381,-0.111587983,0.151090938
4/1/1967,-0.149926145,-0.026570048,0.199579466
5/1/1967,-0.059079062,-0.017121588,0.108881173
6/1/1967,0.140966451,0.27770765,-0.122173925
7/1/1967,0.027245751,0.006915629,0.021862856
8/1/1967,0.013392857,0.031985871,0.033806369
9/1/1967,0.076444675,0.018824872,-0.031572202
10/1/1967,-0.001203659,0.029861889,0.030115046
11/1/1967,0.009881899,0.0549112,-0.010718194
12/1/1967,0.036515513,0.02113039,0.023488804
1/1/1968,0.106838591,-0.07974428,-0.078821802
2/1/1968,-0.027876014,0.010786106,0.013671469
3/1/1968,0.038305157,0.028395732,-0.024090281
4/1/1968,0.131079967,0.039395005,-0.023997242
5/1/1968,-0.018586006,0.024873096,0.072730461
6/1/1968,-0.018752321,-0.025920423,0.076175433
