Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2017-09-30,0.292776,0.34981,0.357414,1.0,0.320340375,-0.064638,0.38269619402,0.485340968334,0.280051419707,2480.38,2428.2,2465.54
2017-08-31,0.25,0.351064,0.398936,1.0,0.31904425,-0.148936,0.38269619402,0.485340968334,0.280051419707,2460.31,2428.2,2457.59
2017-07-31,0.344595,0.412162,0.243243,1.0,0.32229125,0.101352,0.38269619402,0.485340968334,0.280051419707,2481.69,2463.85,2477.83
2017-06-30,0.297143,0.434286,0.268571,1.0,0.30804825,0.028572,0.38269619402,0.485340968334,0.280051419707,2450.42,2419.38,2440.69
2017-05-31,0.328571,0.371429,0.3,1.0,0.310680125,0.028571,0.38269619402,0.485340968334,0.280051419707,2405.58,2352.72,2404.39
2017-04-30,0.380488,0.302439,0.317073,1.0,0.309617875,0.063415,0.38269619402,0.485340968334,0.280051419707,2398.16,2335.05,2387.45
2017-03-31,0.302181,0.323988,0.373832,1.000001,0.339911,-0.071651,0.38269619402,0.485340968334,0.280051419707,2363.78,2322.25,2361.13
2017-02-28,0.384615,0.292308,0.323077,1.0,0.373221125,0.061538,0.38269619402,0.485340968334,0.280051419707,2366.71,2322.17,2362.82
2017-01-31,0.315789,0.349282,0.334928,0.999999,0.420473,-0.019139,0.38269619402,0.485340968334,0.280051419707,2299.55,2257.02,2298.37
2016-12-31,0.455696,0.28692,0.257384,1.0,0.446456875,0.198312,0.38269619402,0.485340968334,0.280051419707,2273.82,2249.11,2249.92
2016-11-30,0.498938,0.280255,0.220807,1.0,0.327291125,0.278131,0.38269619402,0.485340968334,0.280051419707,2204.8,2172.2,2204.72
2016-10-31,0.247549,0.411765,0.340686,1.0,0.26158925,-0.093137,0.38269619402,0.485340968334,0.280051419707,2154.790039,2130.090088,2139.429932
2016-09-30,0.24,0.388889,0.371111,1.0,0.2892405,-0.131111,0.38269619402,0.485340968334,0.280051419707,2179.98999,2139.570068,2171.370117
2016-08-31,0.294243,0.409382,0.296375,1.0,0.325834625,-0.002132,0.38269619402,0.485340968334,0.280051419707,2193.42,2168.5,2175.44
2016-07-31,0.3125,0.403409,0.284091,1.0,0.298324875,0.028409,0.38269619402,0.485340968334,0.280051419707,2175.629883,2159.070068,2166.580078
2016-06-30,0.289125,0.376658,0.334218,1.000001,0.2396585,-0.045093,0.382883781888,0.485544533,0.280223030776,2113.32,1991.68,2070.77
2016-05-31,0.177515,0.5286,0.293886,1.000001,0.2507995,-0.116371,0.382996042866,0.485800502404,0.280191583329,2094.72998,2025.910034,2090.540039
2016-04-30,0.273663,0.440329,0.286008,1.0,0.31136125,-0.012345,0.38320779923,0.486055704871,0.280359893589,2111.050049,2077.52002,2095.149902
2016-03-31,0.271805,0.470588,0.257606,0.999999,0.297858875,0.014199,0.383373708682,0.486289785101,0.280457632263,2072.209961,2022.48999,2063.949951
2016-02-29,0.311947,0.373894,0.314159,1.0,0.246110125,-0.002212,0.383588378065,0.486544586603,0.280632169526,1946.7,1871.44,1929.8
2016-01-31,0.297535,0.302817,0.399648,1.0,0.243965625,-0.102113,0.383786727684,0.486792706939,0.28078074843,1916.99,1812.29,1882.95
2015-12-31,0.250729,0.51312,0.236152,1.000001,0.2884,0.014577,0.383924713822,0.487050350989,0.280799076656,2081.56,2005.93,2063.36
2015-11-30,0.323601,0.416058,0.260341,1.0,0.353956,0.06326,0.384031300586,0.487263849996,0.280798751175,2097.06,2051.99,2090.11
2015-10-31,0.403922,0.390196,0.205882,1.0,0.34362925,0.19804,0.383859086106,0.487169947155,0.280548225057,2090.35,2017.22,2090.35
2015-09-30,0.321199,0.391863,0.286938,1.0,0.308136375,0.034261,0.383622364529,0.487009652289,0.280235076768,2020.86,1939.19,1966.97
2015-08-31,0.325,0.292308,0.382692,1.0,0.28306725,-0.057692,0.383900771654,0.487227792557,0.28057375075,2103.47,1867.01,1940.51
